"Type (Control=0, Stress=1)",Beta power,"Anxiety (Low=0, High=1)",,,,,,,,Participant number
0,0.025458685004465,0,,,,,,,,4
0,0.081954353094753,0,,,,,,,,4
0,0.100164911045323,0,,,,,,,,4
0,-0.270097353700035,0,,,,,,,,4
0,-0.153465095191211,0,,,,,,,,4
0,-0.051908059262843,0,,,,,,,,4
0,-0.308665557981006,0,,,,,,,,4
0,-0.091391462300604,0,,,,,,,,4
0,-0.121630612667334,0,,,,,,,,4
0,0.077721944839057,0,,,,,,,,4
0,-0.135761392998351,0,,,,,,,,4
0,-0.28426880613138,0,,,,,,,,4
0,0.018352923271005,0,,,,,,,,4
0,-0.129515912158489,0,,,,,,,,4
0,-0.223920261997344,0,,,,,,,,4
0,-0.173420401010662,0,,,,,,,,4
0,0.054211727837558,0,,,,,,,,4
0,-0.359235050063293,0,,,,,,,,4
0,-0.159808518881674,0,,,,,,,,4
0,-0.152444785982815,0,,,,,,,,4
0,-0.129385499096433,0,,,,,,,,5
0,0.251375712025342,0,,,,,,,,5
0,-0.2596777480053,0,,,,,,,,5
0,-0.172074432083837,0,,,,,,,,5
0,0.035112376593021,0,,,,,,,,5
0,-0.289632465569629,0,,,,,,,,5
0,0.309688923766562,0,,,,,,,,5
0,-0.108360979699477,0,,,,,,,,5
0,-0.038652126897298,0,,,,,,,,5
0,-0.183563261300144,0,,,,,,,,5
0,-0.346762988607073,0,,,,,,,,5
0,-0.218915058885764,0,,,,,,,,5
0,-0.256687711614951,0,,,,,,,,5
0,-0.05202374283173,0,,,,,,,,5
0,0.000887068700973,0,,,,,,,,5
0,0.111209830981625,0,,,,,,,,5
0,0.053370911303983,0,,,,,,,,5
0,-0.3722494394014,0,,,,,,,,5
0,-0.384748806914947,0,,,,,,,,5
0,-0.40760980475538,0,,,,,,,,5
0,0.117563880580242,0,,,,,,,,5
0,-0.003727218468419,0,,,,,,,,5
0,0.093494295604229,0,,,,,,,,5
0,-0.123839563155788,0,,,,,,,,5
0,-0.335487837216235,0,,,,,,,,5
0,-0.352262834910079,0,,,,,,,,5
0,0.133405909690098,0,,,,,,,,5
0,-0.143947652969742,0,,,,,,,,5
0,0.005506213580879,0,,,,,,,,5
0,-0.395357899822365,0,,,,,,,,5
0,-0.19497476811465,0,,,,,,,,5
0,-0.109508183906935,0,,,,,,,,5
0,-0.311252225198015,0,,,,,,,,5
0,-0.265476485497121,0,,,,,,,,5
0,-0.041783131033748,0,,,,,,,,5
0,-0.138400692886271,0,,,,,,,,5
0,-0.288995563999288,0,,,,,,,,5
0,-0.145923573605962,0,,,,,,,,5
0,-0.217964983747041,0,,,,,,,,5
0,-0.215928863798106,0,,,,,,,,5
0,-0.369862205780338,0,,,,,,,,5
0,-0.328998242003319,0,,,,,,,,5
0,-0.358887110753576,0,,,,,,,,5
0,-0.365225036334404,0,,,,,,,,5
0,0.198875723283296,0,,,,,,,,5
0,-0.115833572177192,0,,,,,,,,5
0,-0.227195409023267,0,,,,,,,,5
0,-0.200154099676402,0,,,,,,,,5
